순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"746","국내도서","돈의 말들","K332831944","9791167700568","03810","유유","김얀 지음","14,000","12,600","1,400","10%","700점","20230224","2420"
"747","국내도서","삶은 문제해결의 연속이다","K622831944","9791192625263","03160","포레스트북스","칼 포퍼 지음, 허형은 옮김","20,000","18,000","2,000","10%","1,000점","20230303","2280"
"748","국내도서","어떻게 말해줘야 할까","8934986654","9788934986652","13590","김영사","오은영 지음, 차상미 그림","17,500","15,750","1,750","10%","870점","20201025","76757"
"749","국내도서","난장이가 쏘아올린 작은 공","899515120X","9788995151204","03810","이성과힘","조세희 지음","13,000","11,700","1,300","10%","650점","20000710","66598"
"750","국내도서","아홉 살 마음 사전","8936447017","9788936447014","73710","창비","박성우 지음, 김효은 그림","11,000","9,900","1,100","10%","550점","20170310","65036"
"751","국내도서","종의 기원","8956609950","9788956609959","03810","은행나무","정유정 지음","13,000","11,700","1,300","10%","650점","20160514","43767"
"752","국내도서","달리기를 말할 때 내가 하고 싶은 이야기","8970128336","9788970128337","03830","문학사상사","무라카미 하루키 지음, 임홍빈 옮김","14,500","13,050","1,450","10%","720점","20090105","35615"
"753","국내도서","퀀트 투자 무작정 따라하기","K112839591","9791140701490","03320","길벗","강환국 지음","25,000","22,500","2,500","10%","1,250점","20221010","23267"
"754","국내도서","8주간의 기적 근육의 부활","8997195077","9788997195077","13690","청림Life","조명기 지음","22,000","19,800","2,200","10%","1,100점","20170601","20219"
"755","국내도서","망그러진 만화","K462839236","9791187033882","03810","좋은생각","유랑 지음","16,800","15,120","1,680","10%","840점","20221101","20036"
"756","국내도서","ETS 토익 단기 공략 850+ (LC + RC)","8917237959","9788917237955","13740","(주)YBM(와이비엠)","ETS 지음","19,500","17,550","1,950","10%","970점","20220630","19442"
"757","국내도서","갈매기에게 나는 법을 가르쳐준 고양이","K812835371","9791166890475","03870","바다출판사","루이스 세뿔베다 지음, 유왕무 옮김, 이억배 그림 지음, 이억배 그림, 유왕무 옮김","9,800","8,820","980","10%","490점","20210930","18737"
"758","국내도서","소리튠 영어혁명","K422830701","9791169101073","13740","미다스북스","갓주아(이정은) 지음","17,000","15,300","1,700","10%","850점","20221213","17775"
"759","국내도서","2022·2023 에듀윌 KBS한국어능력시험 한권끝장","K662838374","9791136017833","13710","에듀윌","송주연.김지학.황혜림 지음","33,000","29,700","3,300","10%","1,650점","20220616","15743"
"760","국내도서","지능의 역설","K102639484","9791162766521","03180","데이원","가나자와 사토시 지음, 김준 옮김","16,000","14,400","1,600","10%","800점","20200508","15350"
"761","국내도서","2023 선재국어 기출실록 (해설 통합형) 세트 - 전4권","K902839984","9791165768713","14710","에스티유니타스","이선재 지음","49,000","44,100","4,900","10%","490점","20220910","13885"
"762","국내도서","나는 왜 생각이 많을까?","K482733118","9791190179874","03180","서사원","홋타 슈고 지음, 윤지나 옮김","13,800","12,420","1,380","10%","690점","20210719","12504"
"763","국내도서","행복한 이기주의자 (스페셜 에디션)","8950973340","9788950973346","03320","21세기북스","웨인 W. 다이어 지음, 오현정 옮김","23,000","20,700","2,300","10%","1,150점","20190814","11465"
"764","국내도서","실전투자 절대지식","8991998879","9788991998872","13320","이레미디어","김형준 지음","25,000","22,500","2,500","10%","1,250점","20140225","10080"
"765","국내도서","달의 그림자 그림자의 바다","8954626157","9788954626156","04830","엘릭시르","오노 후유미 지음, 추지나 옮김","15,800","14,220","1,580","10%","790점","20141117","9054"
"766","국내도서","2023 문동균 한국사 95+5점을 위한 진도별 모의고사","K612831663","9791169660020","13910","에스티유니타스","문동균 지음","14,000","12,600","1,400","10%","140점","20230109","8550"
"767","국내도서","지금 당장 포르쉐를 타라","K672831185","9791192579399","03320","마인드셋","김민성 지음","15,800","14,220","1,580","10%","790점","20230127","7155"
"768","국내도서","2023 선재국어 딱공! 핵심 필기노트 50","K692831469","9791165769758","13710","에스티유니타스","이선재.선재국어연구소 지음","17,000","15,300","1,700","10%","170점","20230109","6505"
"769","국내도서","곰돌이 푸 아트북 : E. H. 셰퍼드가 그린 위니 더 푸와 친구들","K052630368","9791187824619","03600","아르누보","제임스 캠벨 지음, 김문주 옮김, 미네트 셰퍼드 서문","8,800","7,920","880","10%","440점","20200610","6372"
"770","국내도서","김호연의 작업실","K932831636","9791161692371","03810","서랍의날씨","김호연 지음","16,000","14,400","1,600","10%","800점","20230227","5930"
"771","국내도서","존 리, 새로운 10년의 시작","8934951028","9788934951025","03320","김영사","존 리 지음","14,500","13,050","1,450","10%","720점","20230213","5660"
"772","국내도서","흔들리지 않는 학급운영의 비밀","K882836203","9791165192303","93370","박영스토리","정호중 지음","18,000","18,000","0","0%","540점","20220201","5079"
"773","국내도서","일본어 상용한자 무작정 따라하기 1","K172831201","9791140703050","03730","길벗이지톡","권경배 지음","26,000","23,400","2,600","10%","1,300점","20230130","4920"
"774","국내도서","태쁘의 세계 여행 1 : 영국 편","K532831741","9791168440609","","겜툰","김혜련 지음, 정수영 그림, 조한욱 외 감수, 태쁘 원작","14,000","12,600","1,400","10%","700점","20230228","3530"
"775","국내도서","2023 해커스공무원 실전동형모의고사 한국사 1 (9급 공무원)","K432831493","9791168809123","13910","해커스공무원","해커스 공무원시험연구소 지음","19,000","17,100","1,900","10%","950점","20230206","3475"
"776","국내도서","2023 전효진 행정법총론 전범위 모의고사 + 실전기출","K112831429","9791192652122","13360","연승","전효진 지음","20,000","18,000","2,000","10%","200점","20230215","3040"
"777","국내도서","토라도라! 10","K032831840","9791169473194","","학산문화사(만화)","타케미야 유유코 지음, Zekkyou 그림","6,000","5,400","600","10%","300점","20230220","2540"
"778","국내도서","이야기를 횡단하는 호모 픽투스의 모험","K652831044","9791168125735","03300","위즈덤하우스","조너선 갓셜 지음, 노승영 옮김","18,000","16,200","1,800","10%","900점","20230222","2420"
"779","국내도서","부동산 경매 단기투자의 기적","K232831941","9791140703388","13320","길벗","엠제이(장재호) 지음","22,000","19,800","2,200","10%","1,100점","20230302","2390"
"780","국내도서","나를 다 안다는 착각","K282831833","9791169850131","03180","페이지2(page2)","카렌 호나이 지음, 서나연 옮김","17,000","15,300","1,700","10%","850점","20230215","2320"
"781","국내도서","지구 끝의 온실","K082733434","9791191824001","03810","자이언트북스","김초엽 지음","15,000","13,500","1,500","10%","750점","20210818","106197"
"782","국내도서","어서 오세요, 휴남동 서점입니다","K362836265","9791197377143","03810","클레이하우스","황보름 지음","15,000","13,500","1,500","10%","750점","20220117","75760"
"783","국내도서","보도 섀퍼의 돈","8919205019","9788919205013","03320","에포케","보도 섀퍼 지음, 이병서 옮김","16,000","14,400","1,600","10%","800점","20110517","52846"
"784","국내도서","랑랑 형제 떡집","8949162482","9788949162485","74800","비룡소","김리리 지음, 김이랑 그림","11,000","9,900","1,100","10%","550점","20221026","48995"
"785","국내도서","송사무장의 부동산 경매의 기술","K952530746","9791187799023","13320","지혜로","송희창 지음","16,000","14,400","1,600","10%","800점","20170420","38202"
"786","국내도서","채사장의 지대넓얕 1 : 권력의 탄생","K332734114","9791197578410","74900","돌핀북","채사장.마케마케 지음, 정용환 그림","14,000","12,600","1,400","10%","700점","20210929","36417"
"787","국내도서","영어 필사 100일의 기적","K212835380","9791166831515","13740","넥서스","퍼포먼스 코치 리아 지음","15,000","13,500","1,500","10%","750점","20211110","27889"
"788","국내도서","해커스 토플 리딩 (Hackers TOEFL Reading)","8965423120","9788965423126","","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","23,900","21,510","2,390","10%","1,190점","20190801","26290"
"789","국내도서","일본어 잘하고 싶을 땐 다락원 독학 첫걸음","8927712188","9788927712183","18730","다락원","정의상 지음","15,000","13,500","1,500","10%","750점","20190304","22500"
"790","국내도서","청소력","8991824099","9788991824096","03320","나무한그루","마쓰다 미쓰히로 지음, 우지형 옮김","9,000","8,100","900","10%","450점","20070115","17946"
"791","국내도서","2023 전한길 한국사 3.0 기출문제집 - 전2권","K412838926","9791191454161","14910","전한길한국사","전한길 지음","38,000","34,200","3,800","10%","1,900점","20220810","17715"
"792","국내도서","해커스 토익 실전 1000제 3 RC READING 문제집 (리딩)","8965424828","9788965424826","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","11,900","10,710","1,190","10%","590점","20220628","16406"
"793","국내도서","밀랍인형폭렬학원가 1~4 세트 - 전4권","K482831460","9791167791931","04810","영컴(YOUNG COM)","아마긴 지음","96,000","86,400","9,600","10%","4,800점","20230228","14625"
"794","국내도서","배터리 전쟁","K222830659","9791168125353","03320","위즈덤하우스","루카스 베드나르스키 지음, 안혜림 옮김","20,000","18,000","2,000","10%","1,000점","20230102","13810"
"795","국내도서","2023 해커스공무원 신민숙 쉬운국어 문학ㆍ비문학 필기노트 (9급 공무원, 7급 공무원)","K752838395","9791168803169","13710","해커스공무원","신민숙 지음","15,500","13,950","1,550","10%","770점","20220707","13015"
"796","국내도서","2023 에듀윌 산업안전기사 필기 한권끝장 [이론편+기출문제편]","K082830916","9791136019677","13530","에듀윌","최창률 지음","35,000","31,500","3,500","10%","1,750점","20230102","12630"
"797","국내도서","팀 켈러의 용서를 배우다","8953143349","9788953143340","03230","두란노","팀 켈러 지음, 윤종석 옮김","24,000","21,600","2,400","10%","1,200점","20221123","12305"
"798","국내도서","오늘은 아무래도 케이크 : 오븐팬 하나로 간단하게 만드는 디저트 35","K282636085","9791188601325","13590","참돌","와카야마 요코 지음, 임지인 옮김","5,500","4,950","550","10%","270점","20191010","9797"
"799","국내도서","2023 문동균 한국사 핵심기출지문총정리","K002830271","9791165769482","13910","에스티유니타스","문동균 지음","21,000","18,900","2,100","10%","210점","20221120","9340"
"800","국내도서","오늘은 좀 매울지도 몰라","8954650945","9788954650946","03810","문학동네","강창래 지음","13,800","12,420","1,380","10%","690점","20180420","8763"
"801","국내도서","2023 조태정 영어 실전동형 모의고사","K922830138","9791167223562","13740","메가스터디교육(공무원)","조태정 지음","21,000","18,900","2,100","10%","1,050점","20221219","7085"
"802","국내도서","메이드","8947548766","9788947548762","03840","마시멜로","니타 프로스 지음, 노진선 옮김","16,800","15,120","1,680","10%","840점","20230130","5380"
"803","국내도서","상하이의 유대인 제국","K902831310","9791190955829","93910","생각의힘","조너선 카우프만 지음, 최파일 옮김","22,000","19,800","2,200","10%","1,100점","20230201","4630"
"804","국내도서","질투는 사랑을 흐리게 한다","K852831423","9791127459130","07830","인디고","나기사 에이지 지음, 이기선 옮김","5,500","4,950","550","10%","270점","20230210","4550"
"805","국내도서","영어 회화 핵심패턴 233 중고급편","K742830553","9791140702510","03740","길벗이지톡","조이스 백 지음","18,000","16,200","1,800","10%","900점","20230115","4325"
"806","국내도서","벌거벗은 한국사 1","8950942992","9788950942991","74910","아울북","이효실 그림, 윤진숙 글, 김경수 감수, tvN STORY &lt;벌거벗은 한국사&gt; ","14,000","12,600","1,400","10%","700점","20230206","4320"
"807","국내도서","맛있는 디자인 포토샵 & 일러스트레이터 CC 2023","K292831490","9791169210744","13000","한빛미디어","빨간고래(박정아).윤이사라(포완카) 지음","23,000","20,700","2,300","10%","1,150점","20230131","4190"
"808","국내도서","당신의 투자가 심플했으면 좋겠습니다","K712831426","9791160078954","13320","한즈미디어(한스미디어)","전주불도저 지음","21,000","18,900","2,100","10%","1,050점","20230217","3920"
"809","국내도서","인생 보드게임","K362831622","9791190457255","03370","나무의마음","박윤미.정인건 지음","27,800","25,020","2,780","10%","1,390점","20230225","3850"
"810","국내도서","합법적으로 세금 안 내는 110가지 방법 : 개인편","K082830037","9791157747320","03320","아라크네","신방수 지음","19,000","17,100","1,900","10%","950점","20230105","3645"
"811","국내도서","2023 해커스공무원 실전동형모의고사 국어 1 12회 (9급공무원 / 7급 지방직)","K512831493","9791168809109","13710","해커스공무원","해커스 공무원시험연구소 지음","19,000","17,100","1,900","10%","950점","20230206","3170"
"812","국내도서","2024 특수교사 임용의 정석 특수교육법","K222831949","9791198205605","93370","모듀","박해인 지음","10,000","9,000","1,000","10%","500점","20230220","2130"
"813","국내도서","새내기 자매와 두 사람의 식탁 10","K612831442","9791138024297","07830","영상출판미디어(주)","히이라기 유타카 지음","5,500","4,950","550","10%","270점","20230309","1810"
"814","국내도서","떨림과 울림","8962622505","9788962622508","03400","동아시아","김상욱 지음","15,000","13,500","1,500","10%","750점","20181107","39056"
"815","국내도서","어느 날, 내 죽음에 네가 들어왔다","K402837513","9791191043723","03830","모모","세이카 료겐 지음, 김윤경 옮김","15,000","13,500","1,500","10%","750점","20220509","31678"
"816","국내도서","나는 장사의 신이다","K092835410","9791197646751","03320","떠오름","은현장 지음","16,800","15,120","1,680","10%","840점","20211214","30848"
"817","국내도서","용의자 X의 헌신","8990982707","9788990982704","03830","재인","히가시노 게이고 지음, 양억관 옮김","16,800","15,120","1,680","10%","840점","20170830","28123"
"818","국내도서","군주론","K262733021","9791166817878","03160","현대지성","니콜로 마키아벨리 지음, 김운찬 옮김","7,700","6,930","770","10%","380점","20210726","27921"
"819","국내도서","ETS 토익 단기 공략 650+ (LC + RC)","891723593X","9788917235937","13740","(주)YBM(와이비엠)","ETS 지음","18,000","16,200","1,800","10%","900점","20200723","25516"
"820","국내도서","거인의 어깨 1","K092830014","9791192625133","03320","포레스트북스","홍진채 지음","21,800","19,620","2,180","10%","1,090점","20221212","21010"
"821","국내도서","혼자 공부하는 머신러닝 + 딥러닝","K052736813","9791162243664","94000","한빛미디어","박해선 지음","26,000","23,400","2,600","10%","1,300점","20201221","17891"
"822","국내도서","다니엘 핑크 후회의 재발견","8947548448","9788947548441","03320","한국경제신문","다니엘 핑크 지음, 김명철 옮김","18,000","16,200","1,800","10%","900점","20220915","17342"
"823","국내도서","마케팅이다","896570782X","9788965707820","03320","쌤앤파커스","세스 고딘 지음, 김태훈 옮김","18,000","16,200","1,800","10%","900점","20190327","16984"
"824","국내도서","해커스톡 여행영어 10분의 기적","8965422779","9788965422778","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","9,800","8,820","980","10%","490점","20190102","16256"
"825","국내도서","디스 이즈 오사카 This Is Osaka (2023년 최신 개정판)","K142830482","9791192767000","13980","TERRA(테라출판사)","호밀씨 지음","19,800","17,820","1,980","10%","990점","20221121","14985"
"826","국내도서","자발적 방관육아","K382831573","9791165346805","13590","쌤앤파커스","최은아 지음","16,800","15,120","1,680","10%","840점","20230131","14695"
"827","국내도서","셜록 홈즈의 머릿속","K872830611","9791196869236","07860","신북스","시릴 리에롱.브누아 다앙 지음, 최성웅 옮김","18,000","16,200","1,800","10%","900점","20230116","12840"
"828","국내도서","생각정리스킬","K082536066","9791195901968","13320","천그루숲","복주환 지음","14,000","12,600","1,400","10%","700점","20170120","11994"
"829","국내도서","붕괴하는 세계와 인구학","8989566886","9788989566885","03340","김앤김북스","피터 자이한 지음, 홍지수 옮김","20,000","18,000","2,000","10%","1,000점","20230119","11730"
"830","국내도서","나만을 위한 레이 달리오의 원칙","K122830485","9791157846290","13320","한빛비즈","레이 달리오 지음, 조용빈 옮김","18,800","16,920","1,880","10%","940점","20221125","10210"
"831","국내도서","괜찮아, 분명 다 잘될 거야!","K982839484","9791197584237","03300","나비이펙트","사이토 히토리 지음, 김진아 옮김","15,000","13,500","1,500","10%","750점","20220919","9849"
"832","국내도서","김밀란 파스타","K642835731","9791130679051","13590","다산라이프","김밀란 지음","18,000","16,200","1,800","10%","900점","20211217","9496"
"833","국내도서","어느 날, 노비가 되었다 1","K082830138","9791162041314","74810","아르볼","지은지.이민아 지음, 유영근 그림","13,500","12,150","1,350","10%","670점","20221215","8650"
"834","국내도서","히라노와 카기우라 2","K642831418","9791169790802","","대원씨아이(만화)","하루소노 쇼 지음","5,000","4,500","500","10%","250점","20230206","7420"
"835","국내도서","바람의 바다 미궁의 기슭","8954626475","9788954626477","04830","엘릭시르","오노 후유미 지음, 추지나 옮김","15,800","14,220","1,580","10%","790점","20141212","7338"
"836","국내도서","아디야샨티의 참된 명상","8989590574","9788989590576","03220","침묵의향기","아디야샨티 지음, 심성일 옮김","12,500","11,250","1,250","10%","620점","20160425","6401"
"837","국내도서","신은 성서를 쓰지 않았다","K372830154","9791169254489","03200","시공사","카럴 판스하이크.카이 미헬 지음, 추선영 옮김","39,000","35,100","3,900","10%","1,950점","20230102","5960"
"838","국내도서","난 그 여자 불편해","K382831422","9791198181305","03810","이미출판사","최영미 지음","15,000","13,500","1,500","10%","750점","20230221","3900"
"839","국내도서","기후를 위한 경제학","K312831511","9791190400442","03320","착한책가게","김병권 지음","22,000","19,800","2,200","10%","1,100점","20230221","3300"
"840","국내도서","2023 해커스공무원 실전동형모의고사 영어 1 12회 (9급공무원)","K552831493","9791168808690","13740","해커스공무원","해커스 공무원시험연구소 지음","19,000","17,100","1,900","10%","950점","20230206","3245"
"841","국내도서","평생 일하고 싶지 않은 내가 같은 반 인기 아이돌의 눈에 들면 1","K972831852","9791138416849","04830","㈜소미미디어","키시모토 카즈하 지음, 미와베 사쿠라 그림, 현노을 옮김","9,800","8,820","980","10%","490점","20230308","2810"
"842","국내도서","유녀전기 13","K632831442","9791138024280","07830","영상출판미디어(주)","토죠 치카 지음, JYH 옮김, 카를로 젠 원작","5,500","4,950","550","10%","270점","20230309","1760"
"843","국내도서","팩트풀니스","8934985062","9788934985068","03300","김영사","한스 로슬링.올라 로슬링.안나 로슬링 뢴룬드 지음, 이창신 옮김","19,800","17,820","1,980","10%","990점","20190308","42976"
"844","국내도서","밥 챙겨 먹어요, 행복하세요","K842830716","9791192107769","13590","세미콜론","마포농수산쎈타 지음","19,800","17,820","1,980","10%","990점","20221130","39970"
"845","국내도서","멘탈을 바꿔야 인생이 바뀐다","K732837606","9791191043761","03190","마인드셋","박세니 지음","15,800","14,220","1,580","10%","790점","20220430","35588"
"846","국내도서","도쿄 에일리언즈 5","K762831271","9791136762344","","서울미디어코믹스(서울문화사)","NAOE 지음, 박소현 옮김","6,000","5,400","600","10%","300점","20230131","32805"
"847","국내도서","고양이 해결사 깜냥 3","8936448013","9788936448011","74810","창비","홍민정 지음, 김재희 그림","11,000","9,900","1,100","10%","550점","20210611","29140"
"848","국내도서","명상록 (그리스어 원전 완역본)","K682532424","9791187142379","03100","현대지성","마르쿠스 아우렐리우스 지음, 박문재 옮김","12,000","10,800","1,200","10%","600점","20180402","29050"
"849","국내도서","싱글맘 부동산 경매로 홀로서기","K622638501","9791187799139","13320","지혜로","이선미 지음","16,000","14,400","1,600","10%","800점","20200309","27972"
"850","국내도서","멘탈리티","K882830077","9791156759959","03190","푸른숲","팀 그로버.샤리 웽크 지음, 서종기 옮김","18,800","16,920","1,880","10%","940점","20221109","27260"
"851","국내도서","부자의 언어","K652638520","9791155812594","03320","윌북","존 소포릭 지음, 이한이 옮김","16,800","15,120","1,680","10%","840점","20200325","23229"
"852","국내도서","랑과 나의 사막","K572830160","9791167901354","04810","현대문학","천선란 지음","13,000","11,700","1,300","10%","650점","20221025","22840"
"853","국내도서","정재승의 과학 콘서트 (개정증보 2판)","K762630315","9791190030540","03400","어크로스","정재승 지음","16,800","15,120","1,680","10%","840점","20200707","22305"
"854","국내도서","비전 : 「빛」,「색」,「구성」으로 스토리를 전한다!","8979293496","9788979293494","13650","잉크잼(잼스푼)","한스 P. 바커.사나탄 수리아반쉬 지음, 윤효원 옮김","47,000","42,300","4,700","10%","2,350점","20221017","22125"
"855","국내도서","인간의 130가지 감정 표현법","K752636605","9791185578491","03800","인피니티북스","안젤라 애커만, 베카 푸글리시 지음, 서준환 옮김","20,000","18,000","2,000","10%","1,000점","20191202","20358"
"856","국내도서","JLPT 일본어능력시험 한권으로 끝내기 N2","8927712420","9788927712428","14730","다락원","이치우.기타지마 치즈코 지음","27,000","24,300","2,700","10%","1,350점","20210930","19792"
"857","국내도서","2023 시나공 정보처리기사 필기","K952839727","9791140701605","13000","길벗","길벗 R&D 외 지음","35,000","31,500","3,500","10%","1,750점","20221011","19429"
