순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","세이노의 가르침","K732831392","9791168473690","03190","데이원","세이노 지음","7,200","6,480","720","10%","360점","20230302","529205"
"2","국내도서","슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE","K022831493","9791169794930","","대원씨아이(만화)","이노우에 타케히코 지음","20,000","18,000","2,000","10%","1,000점","20230216","360470"
"3","국내도서","김미경의 마흔 수업","K672831500","9791198013026","03320","어웨이크북스","김미경 지음","18,000","16,200","1,800","10%","900점","20230215","145980"
"4","국내도서","사이토 히토리의 1퍼센트 부자의법칙","K582831511","9791197389450","03190","나비스쿨","사이토 히토리 지음, 김진아 옮김","17,000","15,300","1,700","10%","850점","20230130","116360"
"5","국내도서","내가 죽기로 결심한 것은 4","K322831043","9791169305044","07810","네이버웹툰","YUJU 지음","16,000","14,400","1,600","10%","800점","20230305","64760"
"6","국내도서","내가 죽기로 결심한 것은 3","K292831043","9791169305037","07810","네이버웹툰","YUJU 지음","16,000","14,400","1,600","10%","800점","20230305","64680"
"7","국내도서","고양이 해결사 깜냥 5","8936448374","9788936448370","73810","창비","홍민정 지음, 김재희 그림","11,000","9,900","1,100","10%","550점","20230222","45070"
"8","국내도서","K 배터리 레볼루션","K012831493","9791191521221","03320","지와인","박순혁 지음","19,000","17,100","1,900","10%","950점","20230220","67835"
"9","국내도서","슬램덩크 신장재편판 1","K092533843","9791133487516","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180823","156584"
"10","국내도서","그 비스크 돌은 사랑을 한다 10 (초판한정 아크릴 디오라마 + PET 스탠딩 북마크 + 일러스트 카드 포함 한정판)","K492831851","9791138436045","07830","㈜소미미디어","후쿠다 신이치 지음, 박연지 옮김","22,000","19,800","2,200","10%","1,100점","20230309","34800"
"11","국내도서","슬램덩크 그로부터 10일 후 (SLAM DUNK 10 DAYS AFTER)","8925218801","9788925218809","07650","대원씨아이(만화)","이노우에 다케히코 그림","15,000","13,500","1,500","10%","750점","20071115","105847"
"12","국내도서","슬램덩크 신장재편판 2","K012533843","9791133487523","07830","대원씨아이(만화)","이노우에 타케히코 지음","6,500","5,850","650","10%","320점","20180822","153314"
"13","국내도서","슬램덩크 신장재편판 3","K032533843","9791133487530","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","147319"
"14","국내도서","만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션)","K392830163","9791190538510","03180","메이븐","김혜남 지음","17,200","15,480","1,720","10%","860점","20221111","202180"
"15","국내도서","인생의 요정","K372831045","9791168125773","07810","위즈덤하우스","정세원(OOO) 지음","16,800","15,120","1,680","10%","840점","20230215","28760"
"16","국내도서","아버지의 해방일지","8936438832","9788936438838","03810","창비","정지아 지음","15,000","13,500","1,500","10%","750점","20220902","329013"
"17","국내도서","슬램덩크 신장재편판 5","K172533843","9791133487554","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","143181"
"18","국내도서","슬램덩크 신장재편판 20","K632534992","9791133487707","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","143979"
"19","국내도서","내면소통","K412831855","9791168340855","","인플루엔셜(주)","김주환 지음","33,000","29,700","3,300","10%","1,650점","20230227","32970"
"20","국내도서","슬램덩크 신장재편판 4","K152533843","9791133487547","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","141019"
"21","국내도서","주식 시세의 비밀","K162831528","9791197871269","03320","프런트페이지","정재호 지음","22,000","19,800","2,200","10%","1,100점","20230220","107270"
"22","국내도서","슬램덩크 챔프","K482831469","9791169792974","","대원씨아이(만화)","이노우에 다케히코 지음","15,000","13,500","1,500","10%","750점","20230106","149345"
"23","국내도서","슬램덩크 신장재편판 6","K112533843","9791133487561","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180822","138993"
"24","국내도서","슬램덩크 신장재편판 18","K672534992","9791133487684","07830","대원씨아이(만화)","이노우에 타케히코 지음","6,500","5,850","650","10%","320점","20181114","137625"
"25","국내도서","슬램덩크 신장재편판 19","K612534992","9791133487691","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","140319"
"26","국내도서","슬램덩크 신장재편판 16","K522534992","9791133487660","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","137503"
"27","국내도서","슬램덩크 신장재편판 17","K532534992","9791133487677","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181114","137240"
"28","국내도서","슬램덩크 신장재편판 7","K382534269","9791133487578","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20180918","135811"
"29","국내도서","당신도 느리게 나이 들 수 있습니다","K102830242","9791140702589","03510","더퀘스트","정희원 지음","17,800","16,020","1,780","10%","890점","20230117","77190"
"30","국내도서","슬램덩크 신장재편판 8","K322534269","9791133487585","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20180918","134084"
"31","국내도서","슬램덩크 신장재편판 9","K342534269","9791133487592","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20180918","134073"
"32","국내도서","챗GPT","K882831410","9791192932057","03320","생능북스","반병현 지음","13,000","11,700","1,300","10%","650점","20230215","42970"
"33","국내도서","슬램덩크 신장재편판 10","K472534269","9791133487608","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20180918","132424"
"34","국내도서","슬램덩크 신장재편판 15","K592534992","9791133487653","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,500","6,750","750","10%","370점","20181114","133317"
"35","국내도서","슬램덩크 신장재편판 12","K402534471","9791133487622","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181010","131183"
"36","국내도서","날씨와 얼굴","K082831941","9791186602935","03810","위고","이슬아 지음","15,000","13,500","1,500","10%","750점","20230220","21280"
"37","국내도서","슬램덩크 신장재편판 11","K452534471","9791133487615","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181010","131676"
"38","국내도서","슬램덩크 신장재편판 14","K432534471","9791133487646","07830","대원씨아이(만화)","이노우에 타케히코 지음","7,000","6,300","700","10%","350점","20181010","130853"
"39","국내도서","슬램덩크 신장재편판 13","K412534471","9791133487639","07830","대원씨아이(만화)","이노우에 타케히코 지음","6,500","5,850","650","10%","320점","20181010","131176"
"40","국내도서","정세현의 통찰","K392831114","9791156754039","03440","푸른숲","정세현 지음","19,000","17,100","1,900","10%","950점","20230216","59690"
"41","국내도서","2023 이유진 국어 필사즉생 모의고사 3 : 실전유형","K022831630","9791168181304","13700","고시동네","이유진.최형우 지음","16,000","14,400","1,600","10%","800점","20230220","25530"
"42","국내도서","원씽 The One Thing (리커버 특별판)","8997575163","9788997575169","13190
","비즈니스북스","게리 켈러 & 제이 파파산 지음, 구세희 옮김","14,000","12,600","1,400","10%","700점","20130820","160813"
"43","국내도서","유희왕 애장판 3","K002831044","9791169445108","","대원씨아이(만화)","다카하시 카즈키 지음","12,000","10,800","1,200","10%","600점","20230222","18360"
"44","국내도서","방주","K672831528","9791189571894","03830","블루홀식스(블루홀6)","유키 하루오 지음, 김은모 옮김","16,500","14,850","1,650","10%","820점","20230220","26560"
"45","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩)","8917238548","9788917238549","13740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20211213","197542"
"46","국내도서","구의 증명","8956608555","9788956608556","03810","은행나무","최진영 지음","8,000","7,200","800","10%","400점","20150330","88017"
"47","국내도서","불편한 편의점 (벚꽃 에디션)","K192836746","9791161571188","03810","나무옆의자","김호연 지음","14,000","12,600","1,400","10%","700점","20210420","601933"
"48","국내도서","역행자","8901260719","9788901260716","03320","웅진지식하우스","자청 지음","17,500","15,750","1,750","10%","870점","20220603","205823"
"49","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝)","891723853X","9788917238532","13740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20211213","182645"
"50","국내도서","SQL 자격검정 실전문제","8988474848","9788988474846","13000","한국데이터산업진흥원","한국데이터진흥원 지음","18,000","18,000","0","0%","0점","20200511","58157"
"51","국내도서","물고기는 존재하지 않는다","K092835920","9791189327156","03400","곰출판","룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700","10%","850점","20211217","260506"
"52","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","252779"
"53","국내도서","건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식","K592839606","9791158773120","03510","바이북스","조승우 지음","19,000","17,100","1,900","10%","950점","20221020","30543"
"54","국내도서","불편한 편의점 2 (단풍 에디션)","K472839851","9791161571379","03810","나무옆의자","김호연 지음","14,000","12,600","1,400","10%","700점","20220810","216218"
"55","국내도서","순간을 믿어요","8932474842","9788932474847","03810","을유문화사","이석원 지음","16,500","14,850","1,650","10%","820점","20230215","26700"
"56","국내도서","데미안 (오리지널 초판본 표지디자인)","K042535550","9791187011590","04850","코너스톤","헤르만 헤세 지음, 이미영 옮김, 김선형","3,300","2,970","330","10%","160점","20170101","78797"
"57","국내도서","무조건 합격하는 암기의 기술","K382831664","9791140702725","03190","더퀘스트","이윤규 지음","18,800","16,920","1,880","10%","940점","20230111","69890"
"58","국내도서","우리는 모두 죽는다는 것을 기억하라","K132636393","9791158511586","03190","토네이도","웨인 W. 다이어 지음, 정지현 옮김","17,000","15,300","1,700","10%","850점","20191118","52494"
"59","국내도서","수레바퀴 아래서 (오리지널 초판본 표지디자인)","K822535559","9791187011606","04850","코너스톤","헤르만 헤세 지음, 박지희 옮김, 김선형 해설","3,300","2,970","330","10%","160점","20170101","40362"
"60","국내도서","설민석의 한국사 대모험 24","K362831059","9791198179913","74910","단꿈아이","설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300","10%","650점","20230227","18420"
"61","국내도서","나는 인생을 건 공부를 시작했다","K662831528","9791158512576","03190","토네이도","이한나(츄발라) 지음","17,000","15,300","1,700","10%","850점","20230213","19270"
"62","국내도서","작가는 어떻게 읽는가","K482831619","9791167740892","03800","어크로스","조지 손더스 지음, 정영목 옮김","26,000","23,400","2,600","10%","1,300점","20230208","24700"
"63","국내도서","효기심의 권력으로 읽는 세계사 : 유럽 편","K032831950","9791130642147","04900","다산초당(다산북스)","효기심 지음","19,800","17,820","1,980","10%","990점","20230303","14000"
"64","국내도서","마법천자문 57","8950970902","9788950970901","77720","아울북","유대영 지음, 정수영 그림, 강용철 감수","14,000","12,600","1,400","10%","700점","20230228","15280"
"65","국내도서","생에 감사해","K572830939","9791190382915","03810","수오서재","김혜자 지음","17,000","15,300","1,700","10%","850점","20221222","121445"
"66","국내도서","2023 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상","K042830232","9791138911726","13910","이투스북","최태성 지음","15,500","13,950","1,550","10%","770점","20221205","81775"
"67","국내도서","손끝과 연연 7 (32p 풀컬러 소책자 포함 한정판)","K602831849","9791169478700","","학산문화사(만화)","모리시타 수 지음","11,000","9,900","1,100","10%","550점","20230220","19940"
"68","국내도서","초거대 위협","8947548774","9788947548779","03320","한국경제신문","누리엘 루비니 지음, 박슬라 옮김","25,000","22,500","2,500","10%","1,250점","20230213","16270"
"69","국내도서","오버로드 16 (일러스트 카드집 부속 특별판)","K742831142","9791138024389","04830","영상출판미디어(주)","마루야마 쿠가네 지음, 김완 옮김, so-bin 그림","20,000","18,000","2,000","10%","1,000점","20230309","17370"
"70","국내도서","악인론","K762831635","9791130697499","03190","다산북스","손수현 지음","18,500","16,650","1,850","10%","920점","20230220","15700"
"71","국내도서","지적 대화를 위한 넓고 얕은 지식 1","K992636841","9791190313186","03100","웨일북","채사장 지음","16,000","14,400","1,600","10%","800점","20200201","87455"
"72","국내도서","EBS 왕초보 영어 (2023 상편)","8954773249","9788954773249","","한국교육방송공사(기타)","EBS 기획, 마스터유진 지음","13,000","11,700","1,300","10%","130점","20230205","32620"
"73","국내도서","보도 섀퍼 부의 레버리지","K062831409","9791162543269","03190","비즈니스북스","보도 섀퍼 지음, 한윤진 옮김","17,500","15,750","1,750","10%","870점","20230207","22860"
"74","국내도서","2023 산업안전기사 실기[필답형+작업형] + 무료동영상","K512831323","9791168751897","13500","구민사","최윤정 지음","42,000","37,800","4,200","10%","2,100점","20230220","15300"
"75","국내도서","2023 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하","K002830232","9791138911733","13910","이투스북","최태성 지음","15,000","13,500","1,500","10%","750점","20221205","72585"
"76","국내도서","5천만 원으로 시작하는 미라클 기적의 재개발 재건축","8901268884","9788901268880","03320","리더스북","진와이스(장미진) 지음","20,000","18,000","2,000","10%","1,000점","20230224","20390"
"77","국내도서","칠흑 같은 아침","K132831666","9791192667119","03670","마르코폴로","브랫 앤더슨 지음, 이경준 옮김","20,000","18,000","2,000","10%","1,000점","20230225","3950"
"78","국내도서","Go Go 카카오프렌즈 27 : 스위스","8950934558","9788950934552","74900","아울북","김미영 지음, 김정한 그림","14,800","13,320","1,480","10%","740점","20230215","29290"
"79","국내도서","그리스 로마 신화 32 : 운명을 바꾼 야누스의 문","8950941570","9788950941574","74800","아울북","박시연 지음, 최우빈 그림, 김헌 감수","15,000","13,500","1,500","10%","750점","20230215","27450"
"80","국내도서","타키 포오의 이세계 여행사 1","K512831744","9791169794183","77810","대원키즈","스튜디오 왓츠비 지음, 캐릭온TV 원작","13,000","11,700","1,300","10%","650점","20230221","11820"
"81","국내도서","희망의 끈","K612831580","9791192483146","","재인","히가시노 게이고 지음, 김난주 옮김","18,800","16,920","1,880","10%","940점","20221116","47355"
"82","국내도서","좌파의 길","K012831406","9791192085913","03300","서해문집","낸시 프레이저 지음, 장석준 옮김","19,500","17,550","1,950","10%","970점","20230205","26790"
"83","국내도서","돈의 속성 (200쇄 리커버 에디션, 양장)","K962836509","9791188331796","03320","스노우폭스북스","김승호 지음","17,800","16,020","1,780","10%","890점","20200615","126941"
"84","국내도서","키위엔 영어회화 하루 5분의 기적","K232830692","9791198002907","13740","키위엔","박강준 지음","19,500","17,550","1,950","10%","970점","20221205","48465"
"85","국내도서","인스타 브레인","K422639014","9791157686179","03180","동양북스(동양문고)","안데르스 한센 지음, 김아영 옮김","15,000","13,500","1,500","10%","750점","20200515","46540"
"86","국내도서","이토록 평범한 미래","8954680003","9788954680004","03810","문학동네","김연수 지음","14,000","12,600","1,400","10%","700점","20221007","130302"
"87","국내도서","진짜 쓰는 실무 엑셀","K152836497","9791191600704","13000","제이펍","오빠두(전진권) 지음","21,000","18,900","2,100","10%","1,050점","20220215","77846"
"88","국내도서","데일 카네기 인간관계론","K032636279","9791187142560","03320","현대지성","데일 카네기 지음, 임상훈 옮김","11,500","10,350","1,150","10%","570점","20191007","110405"
"89","국내도서","히카루가 죽은 여름 1","K242831055","9791127867799","07830","디앤씨미디어(주)(D&C미디어)","모쿠모쿠렌 지음, 송재희 옮김","6,000","5,400","600","10%","300점","20230320","19220"
"90","국내도서","최애의 아이 9","K962831052","9791169793292","","대원씨아이(만화)","아카사카 아카 지음, 요코야리 멘고 그림","6,000","5,400","600","10%","300점","20230227","13690"
"91","국내도서","2023 현대자동차 생산직 채용 필기시험","K632831394","9791125741039","13320","서원각","취업적성연구소 지음","23,000","20,700","2,300","10%","1,150점","20230210","16315"
"92","국내도서","미스터 프레지던트","K142831470","9791157062805","03300","메디치미디어","탁현민 지음","22,000","19,800","2,200","10%","1,100점","20230118","87755"
"93","국내도서","체인소 맨 12","K822831295","9791169475808","","학산문화사(만화)","후지모토 타츠키 지음","6,000","5,400","600","10%","300점","20230120","81700"
"94","국내도서","디테일의 발견","K742831839","9791168125841","03320","위즈덤하우스","생각노트 지음","18,000","16,200","1,800","10%","900점","20230215","13370"
"95","국내도서","오늘 밤, 세계에서 이 사랑이 사라진다 해도","K362732558","9791191043297","03830","모모","이치조 미사키 지음, 권영주 옮김","14,000","12,600","1,400","10%","700점","20210621","150096"
"96","국내도서","참을 수 없는 존재의 가벼움","8937437562","9788937437564","03860","민음사","밀란 쿤데라 지음, 이재룡 옮김","15,000","13,500","1,500","10%","750점","20180620","93312"
"97","국내도서","트렌드 코리아 2023","8959897094","9788959897094","13320","미래의창","김난도 외 지음","19,000","17,100","1,900","10%","950점","20221005","228545"
"98","국내도서","조셉 머피 잠재의식의 힘","K432831944","9791130642116","04190","다산북스","조셉 머피 지음, 조율리 옮김","19,000","17,100","1,900","10%","950점","20230222","9190"
"99","국내도서","부자 아빠 가난한 아빠 1 (20주년 특별 기념판)","K162532501","9791158883591","03320","민음인","로버트 기요사키 지음, 안진환 옮김","17,000","15,300","1,700","10%","850점","20180222","129498"
"100","국내도서","삶의 목적을 찾는 45가지 방법","K022831747","9791191769357","03190","스노우폭스북스","챗GPT 지음, AI 파파고 옮김, 서진 기획, 셔터스톡 AI 일러스트","17,000","15,300","1,700","10%","850점","20230222","11260"
"101","국내도서","살 때, 팔 때, 벌 때","8950960664","9788950960667","03320","21세기북스","강영현 지음","22,000","19,800","2,200","10%","1,100점","20230302","9560"
"102","국내도서","레버리지 (20만 부 기념 블랙에디션)","K842831525","9791130697246","13320","다산북스","롭 무어 지음, 김유미 옮김","18,000","16,200","1,800","10%","900점","20230215","72589"
"103","국내도서","백은의 언덕 검은 달 1","8954690610","9788954690614","04830","엘릭시르","오노 후유미 지음, 추지나 외 옮김, 야마다 아키히로 일러스트","17,000","15,300","1,700","10%","850점","20230215","42250"
"104","국내도서","긴긴밤","K612731543","9788954677158","73810","문학동네","루리 지음","11,500","10,350","1,150","10%","570점","20210203","209986"
"105","국내도서","챗GPT에게 묻는 인류의 미래","8962624842","9788962624847","03320","동아시아","김대식.챗GPT 지음, 김민정 외 옮김","16,000","14,400","1,600","10%","800점","20230228","14260"
"106","국내도서","2023 써니 행정법총론 소방 실전동형 모의고사","K752831846","9791160183580","13360","지금(도서출판)","박준철 지음","7,000","6,300","700","10%","350점","20230227","9540"
"107","국내도서","우리는 각자의 세계가 된다","8925577224","9788925577227","03400","알에이치코리아(RHK)","데이비드 이글먼 지음, 김승욱 옮김","22,000","19,800","2,200","10%","1,100점","20221222","34360"
"108","국내도서","소설가라는 이상한 직업","K932831116","9791198159601","03810","유유히","장강명 지음","18,000","16,200","1,800","10%","900점","20230215","19730"
"109","국내도서","원피스 104","K342831397","9791169791526","","대원씨아이(만화)","오다 에이치로 지음","5,500","4,950","550","10%","270점","20230206","61865"
"110","국내도서","음식 중독","893746926X","9788937469268","03300","민음사","마이클 모스 지음, 연아람 옮김","18,000","16,200","1,800","10%","900점","20230120","25120"
"111","국내도서","백은의 언덕 검은 달 2","8954690637","9788954690638","04830","엘릭시르","오노 후유미 지음, 추지나 외 옮김, 야마다 아키히로 일러스트","18,000","16,200","1,800","10%","900점","20230215","40760"
"112","국내도서","문학을 열다 - 전6권","K932633909","9791165810269","","스푼북","에토프 그림","75,000","67,500","7,500","10%","3,750점","20200910","20307"
"113","국내도서","홈 스위트 홈","8970125647","9788970125640","03810","문학사상","최진영 외 지음","15,500","13,950","1,550","10%","770점","20230210","18290"
"114","국내도서","명탐정 코난 : 경찰학교 셀렉션","K132831749","9791136764034","","서울미디어코믹스(서울문화사)","아오야마 고쇼 지음","12,000","10,800","1,200","10%","600점","20230217","13400"
"115","국내도서","백은의 언덕 검은 달 3","8954690645","9788954690645","04830","엘릭시르","오노 후유미 지음, 추지나 외 옮김","17,000","15,300","1,700","10%","850점","20230215","40160"
"116","국내도서","인생의 역사","K362839230","9791191859379","03810","난다","신형철 지음","18,000","16,200","1,800","10%","900점","20221031","136715"
"117","국내도서","돈은 좋지만 재테크는 겁나는 너에게","8960306134","9788960306134","03320","황금부엉이","뿅글이 지음","16,500","14,850","1,650","10%","820점","20230201","34155"
"118","국내도서","읽으면서 바로 써먹는 어린이 맞춤법 행성","K882831149","9791158682538","73710","파란정원","한날 지음","13,000","11,700","1,300","10%","650점","20230228","8700"
"119","국내도서","권력과 안보","K832831211","9791196864064","03300","해요미디어","부승찬 지음","17,000","15,300","1,700","10%","850점","20230203","22180"
"120","국내도서","하루 한 장, 인생 그림","8925576996","9788925576992","03600","알에이치코리아(RHK)","이소영 지음","32,000","28,800","3,200","10%","1,600점","20230215","12480"
"121","국내도서","마도정병의 슬레이브 11","K962831044","9791169793285","","대원씨아이(만화)","타케무라 요헤이 지음, 타카 히로 원작","5,500","4,950","550","10%","270점","20230222","7610"
"122","국내도서","미국인 사용빈도 다반사 영어회화 구동사","8960499951","9788960499959","14740","사람in","김아영.Jennifer Grill 지음","18,000","16,200","1,800","10%","900점","20230202","12170"
"123","국내도서","마케팅 설계자","K572830145","9791155815656","03320","윌북","러셀 브런슨 지음, 이경식 옮김","24,800","22,320","2,480","10%","1,240점","20221230","49620"
"124","국내도서","백은의 언덕 검은 달 4","8954690653","9788954690652","04830","엘릭시르","오노 후유미 지음, 추지나 외 옮김, 야마다 아키히로 일러스트","18,000","16,200","1,800","10%","900점","20230215","39920"
"125","국내도서","기분이 태도가 되지 말자","K892830719","9791197647666","03800","하이스트","김수현 지음","16,000","14,400","1,600","10%","800점","20221125","37590"
"126","국내도서","이세계 삼촌 8","K792831442","9791138024266","07830","영상출판미디어(주)","호톤도신데이루 지음, 김민준 옮김","8,000","7,200","800","10%","400점","20230309","7430"
"127","국내도서","한눈에 펼쳐보는 24절기 그림책","K252831584","9791190779999","74000","진선아이","지호진 지음, 이혁 그림","15,000","13,500","1,500","10%","750점","20230124","16635"
"128","국내도서","2023 수제비 정보처리기사 실기 1권+2권 합본세트 - 전2권","K352831219","9791157677238","14000","건기원","NCS 정보처리기술사 연구회 지음","40,000","36,000","4,000","10%","2,000점","20230215","12280"
"129","국내도서","저는 많이 보고 있어요","8954690815","9788954690812","03810","문학동네","안미옥 지음","12,000","10,800","1,200","10%","600점","20230220","11840"
"130","국내도서","손뜨개꽃길의 사계절 코바늘 플라워","K732831851","9791160078992","13590","한즈미디어(한스미디어)","박경조 지음","22,000","19,800","2,200","10%","1,100점","20230228","8170"
"131","국내도서","신들은 죽임당하지 않을 것이다","K552831148","9791158887179","04840","황금가지","켄 리우 지음, 장성주 옮김","16,000","14,400","1,600","10%","800점","20230222","7970"
"132","국내도서","DO IT 두잇","K082831633","9791197015298","","아크","데이비드 차 지음","20,000","18,000","2,000","10%","1,000점","20230213","13470"
"133","국내도서","2023 심우철 실전 동형 모의고사 Season 2","K712831736","9791162051658","13740","심슨북스","심우철 지음","18,000","16,200","1,800","10%","900점","20230220","9250"
"134","국내도서","세상에서 가장 쉬운 본질육아 (러브드 에디션)","8950941813","9788950941819","13590","21세기북스","지나영 지음","18,800","16,920","1,880","10%","940점","20220928","87019"
"135","국내도서","거의 모든 일상 표현의 영어","8960499757","9788960499751","14740","사람in","케빈 강.해나 변 지음","17,000","15,300","1,700","10%","850점","20221101","72465"
"136","국내도서","Stick 스틱! (15주년 기념판)","8901266091","9788901266091","03320","웅진지식하우스","칩 히스.댄 히스 지음, 안진환.박슬라 옮김","19,000","17,100","1,900","10%","950점","20221021","47041"
"137","국내도서","씽킹 101 : 더 나은 삶을 위한 생각하기 연습","8965965462","9788965965466","03180","흐름출판","안우경 지음, 김보람 옮김","21,000","18,900","2,100","10%","1,050점","20230105","35870"
"138","국내도서","혈계전선 Back 2 Back 10","K672831044","9791169473255","","학산문화사(만화)","나이토우 야스히로 지음","6,000","5,400","600","10%","300점","20230222","7170"
"139","국내도서","시간이 있었으면 좋겠다","K622831377","9791198068408","03810","잠비","김신지 지음","16,800","15,120","1,680","10%","840점","20230120","33970"
"140","국내도서","세계의 귀여운 빵","K282733024","9791188601509","12590","참돌","판토타마네기 지음, 이진숙 옮김, 이노우에 요시후미 감수","4,400","3,960","440","10%","220점","20210628","16255"
"141","국내도서","아이에게 주는 감정 유산","K402831498","9791191462173","13590","라이프앤페이지","이남옥 지음","17,000","15,300","1,700","10%","850점","20230206","14240"
"142","국내도서","별의 커비 디스커버리 2 : 외딴섬을 악몽에서 구해라!","K952831329","9791164798957","74830","해피북스투유","다카세 미에 지음, 가리노 타우.포토 그림, 현승희 옮김","13,500","12,150","1,350","10%","670점","20230224","13810"
"143","국내도서","돈의 규칙","K582831313","9791192488257","03320","베가북스","신민철(처리형) 지음","21,000","18,900","2,100","10%","1,050점","20230215","21920"
"144","국내도서","2023 유휘운 행정법총론 실전동형 모의고사","K422831839","9791167223524","13360","메가스터디교육(공무원)","유휘운 지음","9,000","8,100","900","10%","450점","20230220","9860"
"145","국내도서","부의 추월차선 (10주년 스페셜 에디션)","K352836574","9791187444725","13320","토트","엠제이 드마코 지음, 신소영 옮김","17,500","15,750","1,750","10%","870점","20220204","70676"
"146","국내도서","지적 대화를 위한 넓고 얕은 지식 : 제로 편","K622636607","9791190313131","03100","웨일북","채사장 지음","19,800","17,820","1,980","10%","990점","20191224","61733"
"147","국내도서","사피엔스 (양장 특별판)","8934943238","9788934943235","03900","김영사","유발 하라리 지음, 조현욱 옮김, 이태수 감수","30,000","27,000","3,000","10%","1,500점","20230127","24935"
"148","국내도서","흔한남매 수수께끼 어드벤처 2","K112831415","9791168414921","77030","미래엔아이세움","도니패밀리 그림, 노지영 글, 흔한컴퍼니.정재형 감수, 흔한남매 원작","14,000","12,600","1,400","10%","700점","20230202","21620"
"149","국내도서","해커스 일본어 첫걸음 : 기초 20일 독학 완성!","8965424216","9788965424215","13730","해커스어학연구소(Hackers)","해커스JLPT연구소 지음","13,900","12,510","1,390","10%","690점","20210708","42270"
"150","국내도서","2023 최신판 에듀윌 코레일 한국철도공사 NCS+전공 봉투모의고사 6+2회","K632831471","9791136023094","13320","에듀윌","에듀윌 취업연구소 지음","19,000","17,100","1,900","10%","950점","20230113","14930"
"151","국내도서","하얼빈","895469991X","9788954699914","03810","문학동네","김훈 지음","16,000","14,400","1,600","10%","800점","20220803","199166"
"152","국내도서","해커스 토익 RC 리딩 READING 토익 기본서 2023 최신개정판","8965424763","9788965424765","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","18,800","16,920","1,880","10%","940점","20230102","45165"
"153","국내도서","고통의 비밀","K972830273","9791192389059","03510","상상스퀘어","몬티 라이먼 지음, 박선영 옮김","17,800","16,020","1,780","10%","890점","20221109","38480"
"154","국내도서","내가 틀릴 수도 있습니다 (리커버)","K152830593","9791130689890","03100","다산초당(다산북스)","비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김","16,000","14,400","1,600","10%","800점","20220418","129681"
"155","국내도서","스카이 버스","K242831564","9791130696393","03370","다산에듀","분당강쌤 지음","18,000","16,200","1,800","10%","900점","20230103","81555"
"156","국내도서","파친코 1","K202838509","9791168340510","04840","인플루엔셜(주)","이민진 지음, 신승미 옮김","15,800","14,220","1,580","10%","790점","20220727","125806"
"157","국내도서","네 기분은 어떤 색깔이니?","K882831576","9791158363925","77810","책읽는곰","최숙희 지음","14,000","12,600","1,400","10%","700점","20230109","31355"
"158","국내도서","백년 허리 2 : 치료편","K272731146","9791197437311","03510","언탱글링","정선근 지음","18,500","16,650","1,850","10%","920점","20210513","68891"
