순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"888","국내도서","위대한 나의 발견 강점 혁명","8935213578","9788935213573","03320","청림출판","갤럽 프레스 지음","30,000","27,000","3,000","10%","1,500점","20210719","36882"
"889","국내도서","설민석의 한국사 대모험 22","K442839462","9791191496604","74910","단꿈아이","설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300","10%","650점","20220829","36004"
"890","국내도서","가녀장의 시대","8954688799","9788954688796","03810","이야기장수","이슬아 지음","15,000","13,500","1,500","10%","750점","20221007","29168"
"891","국내도서","용의자 X의 헌신","8990982707","9788990982704","03830","재인","히가시노 게이고 지음, 양억관 옮김","16,800","15,120","1,680","10%","840점","20170830","28353"
"892","국내도서","김경일의 지혜로운 인간생활","K592837462","9791189217136","03180","저녁달","김경일 지음","17,500","15,750","1,750","10%","870점","20220415","28266"
"893","국내도서","프로젝트 헤일메리","8925588730","9788925588735","03840","알에이치코리아(RHK)","앤디 위어 지음, 강동혁 옮김","18,500","16,650","1,850","10%","920점","20210504","24227"
"894","국내도서","나는 개다","K262635888","9791158361365","77810","책읽는곰","백희나 글.그림","13,000","11,700","1,300","10%","650점","20190415","21907"
"895","국내도서","자연스러운 인체 드로잉","K632838537","9791157685271","13600","동양북스(동양문고)","소은 박경선 지음","23,500","21,150","2,350","10%","1,170점","20220812","21292"
"896","국내도서","아이주도 이유식 유아식 매뉴얼 세트","K002734865","9791195616169","14590","아퍼블리싱","BLW 연구소.안소정 지음","23,500","21,150","2,350","10%","1,170점","20210831","19098"
"897","국내도서","2023 신용한 행정학 최근 10년 단원별 기출문제집 - 전2권","K662838561","9791167222145","13350","메가스터디교육(공무원)","신용한.SK100수험연구소 지음","42,000","37,800","4,200","10%","2,100점","20220610","15147"
"898","국내도서","2023 문동균 한국사 기출은 문동균 - 전2권","K492838633","9791165768423","14910","에스티유니타스","문동균 지음","34,000","30,600","3,400","10%","340점","20220815","13699"
"899","국내도서","2023 시나공 기출문제집 컴퓨터활용능력 1급 필기","K362830277","9791140702022","13000","길벗","길벗R&D.강윤석 외 지음","16,000","14,400","1,600","10%","800점","20221107","13500"
"900","국내도서","2023 해커스공무원 신민숙 쉬운국어 어법 필기노트 (9급 공무원, 7급 공무원)","K882838796","9791168803091","13710","해커스공무원","해커스 공무원시험연구소 외 지음","15,500","13,950","1,550","10%","770점","20220704","11508"
"901","국내도서","2023 하루에 끝장내기 세법","K272831493","9791159733437","13320","세경","주민규 지음","23,000","21,850","1,150","5%","1,150점","20230127","11275"
"902","국내도서","에피쿠로스 쾌락 (그리스어 원전 완역본)","K672830030","9791139709834","03160","현대지성","에피쿠로스 지음, 박문재 옮김","8,800","7,920","880","10%","440점","20221222","10055"
"903","국내도서","2023 소방단기 김동준 소방학개론 디딤돌 모의고사 - 전2권","K762831666","9791190945745","","두빛나래","김동준 지음","19,000","17,100","1,900","10%","950점","20230111","8685"
"904","국내도서","AI 지도책","K232830812","9791188941896","03500","소소의책","케이트 크로퍼드 지음, 노승영 옮김","21,000","18,900","2,100","10%","1,050점","20221129","8415"
"905","국내도서","해피엔딩에서 너를 기다릴게","8925577127","9788925577128","03830","알에이치코리아(RHK)","산다 치에 지음, 이소담 옮김","16,800","15,120","1,680","10%","840점","20230113","5650"
"906","국내도서","헤아려 본 믿음","K582831395","9791191887068","03230","바람이불어오는곳","레이첼 헬드 에반스 지음, 김경아 옮김","16,500","14,850","1,650","10%","820점","20230120","4820"
"907","국내도서","오늘도 문구점에 갑니다","8934942320","9788934942320","03830","비채","하야테노 고지 지음, 김다미 옮김","14,500","13,050","1,450","10%","720점","20230131","4380"
"908","국내도서","초판본 데미안","K462632692","9791164453115","03850","더스토리","헤르만 헤세 지음, 이순학 옮김","3,300","2,970","330","10%","160점","20200820","4200"
"909","국내도서","허구추리 17","K172831291","9791136762641","","서울미디어코믹스(서울문화사)","카타세 차시바 지음, 오경화 옮김, 시로다이라 교 원작","6,000","5,400","600","10%","300점","20230119","3170"
"910","국내도서","희망의 이유","8934943386","9788934943389","03470","김영사","제인 구달 지음, 박순영 옮김","18,800","16,920","1,880","10%","940점","20230203","3020"
"911","국내도서","2023 해커스공무원 실전동형모의고사 영어 1 12회 (9급공무원)","K552831493","9791168808690","13740","해커스공무원","해커스 공무원시험연구소 지음","19,000","17,100","1,900","10%","950점","20230206","2970"
"912","국내도서","심정섭의 대한민국 학군지도","K982831425","9791186647974","13320","진서원","심정섭 지음","35,000","31,500","3,500","10%","1,750점","20230205","2950"
"913","국내도서","달력 뒤에 쓴 유서","893747381X","9788937473814","04810","민음사","민병훈 지음","14,000","12,600","1,400","10%","700점","20230130","2830"
"914","국내도서","전설의 모험왕 엉덩이 댄디 5","K102831620","9791168414938","77830","미래엔아이세움","트롤 원작.감수, 기쿠치 아키히로 그림, 하루하라 로빈슨 글, 김정화 옮김","13,500","12,150","1,350","10%","670점","20230215","2310"
"915","국내도서","2024 공무원 직렬별 영단어 기출100% 빈출순","K712831635","9791191962147","13740","타보름교육","타보름교육 편집부 지음","16,800","15,120","1,680","10%","840점","20230321","2060"
"916","국내도서","너를 너무너무너무너무 좋아하는 100명의 그녀 11","K512831839","9791169478366","","학산문화사(만화)","나카무라 리키토 지음, 노자와 유키코 그림","6,000","5,400","600","10%","300점","20230215","1990"
"917","국내도서","더 파이팅 The Fighting 135","K962831840","9791169472388","","학산문화사(만화)","모리카와 조지 지음","6,000","5,400","600","10%","300점","20230220","1980"
"918","국내도서","아하렌 양은 알 수가 없어 15","K002831830","9791169478755","","학산문화사(만화)","미즈 아사토 지음","6,000","5,400","600","10%","300점","20230215","1810"
"919","국내도서","지금, 사랑을 하고 있어요 6","K132831840","9791169479042","","학산문화사(만화)","하타 아유코 지음","6,000","5,400","600","10%","300점","20230220","1610"
"920","국내도서","5년 후 나에게 - Q&A a day (2023 Sandglass Edition)","K172830378","9791158510244","14190","토네이도","포터 스타일 지음, 정지현 옮김","22,000","19,800","2,200","10%","1,100점","20221114","70798"
"921","국내도서","방구석 미술관","K042732197","9788968331862","03600","블랙피쉬","조원재 지음","16,800","15,120","1,680","10%","840점","20180803","57590"
"922","국내도서","당신이 옳다 (50만 부 스페셜 에디션)","K462830359","9788965746669","","해냄","정혜신 지음","17,500","15,750","1,750","10%","870점","20181010","56669"
"923","국내도서","세상에서 제일 재밌는 종이접기","K972533242","9791186494431","13630","슬로래빗","네모아저씨 이원표 지음","14,000","12,600","1,400","10%","700점","20180824","31947"
"924","국내도서","차라투스트라는 이렇게 말했다","8937460947","9788937460944","04850","민음사","프리드리히 니체 지음, 장희창 옮김","11,000","9,900","1,100","10%","550점","20040102","29998"
"925","국내도서","엄마의 말 연습","K972839383","9791168270749","03590","카시오페아","윤지영 지음","17,500","15,750","1,750","10%","870점","20220922","28549"
"926","국내도서","우울할 땐 뇌 과학","K052532504","9791156757344","03180","심심","앨릭스 코브 지음, 정지인 옮김","17,000","15,300","1,700","10%","850점","20180312","28336"
"927","국내도서","박혜원 파워토익 VOCA","8917238688","9788917238686","13740","(주)YBM(와이비엠)","박혜원 지음","12,800","11,520","1,280","10%","640점","20211224","25759"
"928","국내도서","밥 프록터 생각의 시크릿","K152839756","9791190977852","03320","페이지2(page2)","밥 프록터.그레그 S. 레이드 지음, 김잔디 옮김, 조성희 감수","16,000","14,400","1,600","10%","800점","20221024","22145"
"929","국내도서","JLPT 일본어능력시험 한권으로 끝내기 N2","8927712420","9788927712428","14730","다락원","이치우.기타지마 치즈코 지음","27,000","24,300","2,700","10%","1,350점","20210930","19918"
"930","국내도서","신곡 세트 - 전3권","893748806X","9788937488061","14800","민음사","단테 알리기에리 지음, 박상진 옮김, 윌리엄 블레이크 그림","29,000","26,100","2,900","10%","1,450점","20130808","19911"
"931","국내도서","내가 죽기로 결심한 것은 2","K752839374","9791169303552","07810","네이버웹툰","YUJU 지음","16,000","14,400","1,600","10%","800점","20220915","17854"
"932","국내도서","제5도살장 (무선)","8954643256","9788954643252","04840","문학동네","커트 보니것 지음, 정영목 옮김","12,500","11,250","1,250","10%","620점","20161209","16241"
"933","국내도서","유령의 마음으로","8937442698","9788937442698","03810","민음사","임선우 지음","13,000","11,700","1,300","10%","650점","20220325","15127"
"934","국내도서","셜록 홈즈의 머릿속","K872830611","9791196869236","07860","신북스","시릴 리에롱.브누아 다앙 지음, 최성웅 옮김","18,000","16,200","1,800","10%","900점","20230116","12705"
"935","국내도서","문학이 필요한 시간","K882830351","9791160409383","03810","한겨레출판","정여울 지음, 이승원 사진","16,000","14,400","1,600","10%","800점","20230105","11480"
"936","국내도서","게임 : 행위성의 예술","K582831278","9791189356897","03690","워크룸프레스(Workroom)","C. 티 응우옌 지음, 이동휘 옮김","19,000","17,100","1,900","10%","950점","20221229","9250"
"937","국내도서","2023 권규호 공무원 국어 독해 강훈련","K482839983","9791192083193","13700","권규호언어연구실","권규호 지음","18,000","16,200","1,800","10%","900점","20220906","9032"
"938","국내도서","2023 해커스공무원 신민숙 쉬운국어 매일 하프모의고사 1 (9급 공무원.7급 지방직)","K732830063","9791168807457","13710","해커스공무원","신민숙 지음","15,000","13,500","1,500","10%","750점","20221104","8990"
"939","국내도서","손끝과 연연 6","K402839181","9791169271752","","학산문화사(만화)","모리시타 수 지음","6,000","5,400","600","10%","300점","20220914","8982"
"940","국내도서","야노 군의 평범한 나날 2","K272831105","9791169472876","","학산문화사(만화)","타무라 유이 지음","6,000","5,400","600","10%","300점","20230127","8510"
"941","국내도서","플라톤, 현실국가를 캐묻다","K912831519","9791195928859","03100","라티오","강유원 지음","28,000","25,200","2,800","10%","1,400점","20230215","7670"
"942","국내도서","해커스 공무원 국어 문학 333 Vol. 1 (9급 공무원 / 7급 공무원)","K002830014","9791168807464","13710","해커스공무원","해커스 공무원시험연구소 지음","19,000","17,100","1,900","10%","950점","20221205","6435"
"943","국내도서","잃어버린 것에 대하여","K892831482","9791162851326","03810","마음의숲","최백호 지음","17,000","15,300","1,700","10%","850점","20230203","6010"
"944","국내도서","과학특성화중학교 3","8958079495","9788958079491","04400","뜨인돌","닥터베르 지음, 리페 그림","13,000","11,700","1,300","10%","650점","20230206","4940"
"945","국내도서","데일 카네기의 5분 명상록 (미니북)","K502534706","9791189660055","14320","더클래식","데일 카네기 지음, 베스트트랜스 옮김","2,900","2,610","290","10%","140점","20181130","4458"
